bucket	mean_sys_q_0p1pct_seed_1618033	mean_sys_q_0p1pct_seed_271828	q_0p1pct_replication_delta_seed271828_minus_seed1618033	mean_sys_q_0p01pct_seed_271828	same_seed_hardening_delta_q0p01_minus_q0p1	dependence_note
3x3	0.4985916568792545	0.4980889975837483	-0.0005026592955061915	0.4994069837225924	0.001317986138844096	The seed-271828 100k population is a prefix of the 1M population; this is a dependent cross-scale comparison, not replication.
3x4	0.7340968834064586	0.7101133923900238	-0.02398349101643482	0.7804289204558091	0.07031552806578534	The seed-271828 100k population is a prefix of the 1M population; this is a dependent cross-scale comparison, not replication.
3x5	0.6859284369384253	0.7225898711955034	0.03666143425707813	0.722139640575689	-0.0004502306198144179	The seed-271828 100k population is a prefix of the 1M population; this is a dependent cross-scale comparison, not replication.
3x6	0.6839776779127036	0.720060833003581	0.03608315509087745	0.7266782941891108	0.006617461185529749	The seed-271828 100k population is a prefix of the 1M population; this is a dependent cross-scale comparison, not replication.
4x4	0.6227699311817083	0.5939111946861126	-0.02885873649559567	0.5583054861737443	-0.03560570851236833	The seed-271828 100k population is a prefix of the 1M population; this is a dependent cross-scale comparison, not replication.
4x5	0.6087337253380808	0.570811353322319	-0.03792237201576176	0.568951081362202	-0.0018602719601170659	The seed-271828 100k population is a prefix of the 1M population; this is a dependent cross-scale comparison, not replication.
4x6	0.6144178509141096	0.6050716852400271	-0.00934616567408253	0.5651434935255638	-0.03992819171446327	The seed-271828 100k population is a prefix of the 1M population; this is a dependent cross-scale comparison, not replication.
5x5	0.5967489455219559	0.6188950974127069	0.022146151890750976	0.5677428313553807	-0.051152266057326146	The seed-271828 100k population is a prefix of the 1M population; this is a dependent cross-scale comparison, not replication.
5x6	0.5741697393240444	0.6017891031142338	0.027619363790189477	0.5155059005541183	-0.08628320256011557	The seed-271828 100k population is a prefix of the 1M population; this is a dependent cross-scale comparison, not replication.
6x6	0.6302073583355646	0.6198352930328723	-0.010372065302692302	0.579452241469962	-0.04038305156291033	The seed-271828 100k population is a prefix of the 1M population; this is a dependent cross-scale comparison, not replication.
